;Name;Revenue;Lost profit;Sales;Balance;Turnover days;Frozen stocks percent;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;SPP;Median price;Comments Valuation;Comments;Days in website;Search cpm avg
90;Бады для здоровья и мозга пищевые добавки в капсулах 60 шт;250690;684,95;399;127;116;61,42;1199;53;553;536;0;615;4,8;57;422;0
91;Метилфолат 600 мкг, БАД, фолиевая кислота капсулы 60 шт;248698;44781,63;464;43;29;0;1499;66;503;487;0;533;4,9;50;476;0
92;Набор скраб для лица и маска с гиалуроновой кислотой;228698;1062566,09;101;102;66;31,37;3999;43;2277;2208;0;2277;4,9;55;64;0
93;Омега 3 капсулы, витаминный комплекс, 90 шт;223942;1524711,49;271;413;72;37,29;1199;41;700;679;0;875;4,9;1957;66;0
94;Йод витамины для здоровья и иммунитета 60 шт;222611;132598,73;395;0;0;0;1480;27;1080;1047;0;570;4,9;62;476;0
95;Витамин д3 500 взрослый, капли масляные для иммунитета 30 мл;222008;107858,14;367;0;0;0;1199;27;875;848;0;618;4,9;1500;515;0
96;Цитруллин капсулы, в банке;211300;0;384;160;153;70,62;1499;66;503;487;0;550;4,8;246;888;0
97;Тирозин 500 мг для похудения в капсулах, БАД для здоровья;210178;59525,94;364;0;0;0;1480;27;1080;1047;0;599;4,9;56;437;0
98;Витамины для мужчин комплекс для здоровья иммунитета 30 шт;178860;631530,37;309;171;45;0;1999;71;569;551;0;598;4,9;4009;80;0
99;Bcaa капсулы аминокислоты 2-1-1 без вкуса 200 шт;160614;2669,48;223;27;44;0;1599;55;716;694;0;716;4,7;110;433;0
100;Витамин д3 к2 БАДы в капсулах 60 шт 600 МЕ;152895;348109,15;261;0;0;0;1199;55;535;518;0;582;4,9;76;527;0
101;l карнитин жидкий 3000 без сахара жиросжигатель спортпит 1 л;144204;611836,97;114;0;0;0;2699;21;2132;2068;0;1399;4,7;27;457;0
102;bcaa порошок 2-1-1 аминокислоты спортпит для роста мышц 200г;142868;14115,7;205;31;51;9,68;1599;55;716;694;0;669;4,7;110;334;0
103;Аргинин капсулы спортивное питание для набора мышечной массы;140398;17657,42;230;117;166;72,65;1540;59;629;610;0;623;4,8;62;411;0
104;БАД для похудения и снижения веса в капсулах 60 шт;128890;132450,5;211;0;0;0;1650;10;1485;1440;0;768;5;22;433;0
105;Витамин с шипучий для иммунитета мужчин и женщин;114612;227360,39;320;0;0;0;650;28;468;453;0;359;4,8;399;575;0
106;bcaa порошок 2-1-1 аминокислоты спортпит для роста мышц 200г;113441;11208,24;161;34;71;35,29;1599;55;716;694;0;698;4,7;110;334;0
107;Бета аланин порошок аминокислота для роста мышечной массы;111948;922,65;196;287;533;91,64;1500;64;528;512;0;637;4,8;48;466;0
108;БАДы комплекс витаминов для женщин;108227;3502619,27;59;320;60;24,69;4299;56;1851;1795;0;1826;4,9;194;10;759
109;Bcaa порошок аминокислоты 2-1-1 апельсин 200 г;96082;1868,26;133;26;70;34,62;1599;63;588;570;0;734;4,7;110;433;0
110;Скраб для тела антицеллюлитный и крем баттер;93345;433695,23;45;114;165;72,81;3999;48;2072;2009;0;2189;4,9;76;64;0
111;Гиалуроновая кислота капсулы БАД для лица, суставов и связок;90454;255344,1;161;0;0;0;1199;55;535;518;0;575;4,9;31;447;0
112;Бета аланин капсулы 600 мг 90 шт;73094;0;117;222;696;93,69;1372;42;790;766;0;618;4,8;48;466;0
113;Лизин аминокислота для иммунитета 60 штук халяль;63622;41554,91;115;29;56;20,69;1199;58;498;483;0;596,5;4,9;96;221;0
114;Витамины для иммунитета натуральный комплекс для здоровья;19550;428878,12;34;35;0;0;1199;52;575;0;20;575;4,6;13;438;0
115;Изотоник порошок спортивный, напиток растворимый;14100;33374,31;20;187;1019;95,72;2499;67;819;794;0;667;5;8;108;0
116;Коллаген порошок питьевой для суставов с витамином C;12365;42975,91;14;0;0;0;1599;50;795;771;0;913;4,4;1;532;0
117;Коллаген порошок питьевой для суставов с витамином C;9832;48367,1;11;0;0;0;1599;50;795;771;0;935;4,1;13;531;0
118;Изотоник порошок спортивный, напиток растворимый;8950;26752,72;13;131;927;95,42;2499;67;819;794;0;659;5;8;91;0
119;Гейнер для набора массы спортивный 1 кг шоколад-ваниль;5031;19920,04;3;57;1406;96,49;3499;52;1651;1601;0;1735;0;0;73;0
120;L-карнитин;1090;198925;1;0;0;0;1365;15;1160;0;0;1067;0;0;144;0
121;Коллаген порошок питьевой для суставов с витамином C;0;0;0;0;0;0;1599;32;1087;0;11;1039;4;21;532;0
122;Подарочный набор косметики для лица Halsa Beauty;0;0;0;0;0;0;6000;17;4980;0;0;5040;0;0;328;0
123;Коллаген порошок питьевой для суставов с витамином C;0;0;0;0;0;0;1599;46;858;832;0;935;4;1;532;0
